,0
331,"As a user, I want to update a single property of a dataset instance without knowing all other properties. "
332,"As a user, I want to remove a single property of a dataset instance without knowing all other properties. "
333,"As a user, I want to trigger a migration process for a dataset if updating its properties requires that."
334,"As a user, I want to ensure that if reconfiguration of a dataset fails then no changes have taken effect, so that all steps required to reconfigure a dataset must be done as a single atomic action."
335,"As an app developer, I want to ensure that application creation fails if any of its datasets cannot be created."
336,"As an app developer, I want to ensure that application redeployment fails if any of its datasets cannot be reconfigured."
337,"As an app developer, I want to tolerate existing datasets if their properties are different but compatible when creating a dataset as part of app deployment. "
338,"As a pipeline designer, I want to get a meaningful error message when pipeline creation fails when I use an existing dataset as a sink or source, so that I know that the schema or any other property of the dataset is incompatible with what the pipeline requires. "
339,"As a user, I want to specify as part of dataset configuration whether it is explorable."
340,"As a user, I want to specify the explore schema separately."
341,"As a user, I want to ensure that dataset creation fails if the dataset cannot be enabled for explore."
342,"As a user, I want to ensure that dataset reconfiguration fails if the corresponding update of the explore table fails."
343,"As a user, I want to ensure that a dataset operation fails if it fails to make its required changes to explore."
344,"As a user, I want to ensure that an update of explore never leads to silent loss of data or data available for explore. "
345,"As a user, I want to enable explore for a dataset that was not configured for explore initially."
346,"As a user, I want to disable explore for a dataset that was configured for explore initially."
347,"As a Developer, I want to get a Data Package into Node, so that I can start using the data for doing analysis and visualizations."
348,"As a Researcher, I want to get a Data Package into Julia in seconds, so that I can start using the data for doing analysis and visualizations. "
349,"As a Publisher, I want to add type information to my data, so that it is more useful to others and can be used better with tools like visualization programs. "
350,"As a Publisher, I want to be able to provide a visualization of data in the Data Package, so that I can provide my analysis and show my work to users of the data. "
351,"As a Researcher, I want to be able to save new visualizations, so that I can share them with others or include them in the Data Package. "
352,"As a ResearcherPublisher, I want to know that my data conforms to its Data Package profile, so that I can feel trust in the validity and usefulness of the data. "
353,"As a ResearcherPublisher, I want to understand the ways in which my data is invalid, so that I can know how to fix it. "
354,"As a Researcher, I want to get a Data Package into R in seconds, so that I can start using the data for doing analysis and visualizations. "
355,"As a Researcher, I want to get a Data Package into Excel in seconds, so that I can start using the data for doing analysis and visualizations. "
356,"As a Researcher, I want to get a Data Package into SPSS in seconds, so that I can start using the data for doing analysis and visualizations. "
357,"As a Researcher, I want to get a Data Package into STATA in seconds, so that I can start using the data for doing analysis and visualizations. "
358,"As a Researcher, I want to be able to translate my EML dataset to a Data Package, so that I can benefit from the wide array of tools available for Data Packages. "
359,"As a Researcher, I want to get a Data Package into LibreOffice/OpenOffice in seconds, so that I can start using the data for doing analysis and visualizations. "
360,"As a Developer, I want to get a Data Package into Python in seconds, so that I can start using the data for doing analysis and visualizations. "
361,"As a Developer, I want a jQuery plugin for Core Data Packages, so that I can use it to apply to form control that uses a core dataset for autocompletion. "
362,"As a Researcher, I want to get my Excel spreadsheet into a Data Package, so that I can benefit from better tooling and standardization. "
363,"As a Developer, I want to do exploratory data analysis in R and operationalize that analysis in Python, so that I can use the best tool for the job."
364,"As a Developer, I want to get a Data Package into Clojure in seconds, so that I can start using the data in doing analysis and visualizations. "
365,"As a Developer, I want to get a Data Package into Julia in seconds, so that I can start using the data in doing analysis and visualizations. "
366,"As a Developer, I want to get a Data Package into C++ in seconds, so that I can start using the data in doing analysis and visualizations. "
367,"As a Machine Learning expert, I would like to package ML datasets as data packages, so that I can easily import them into my ML platform, so that I can start using the data in doing analysis. "
368,"As a Developer, I want an Elasticsearch integration, so that I can integrate data-packaged data with pipelines that use Elasticsearch. "
369,"As a Developer, I want an SPSS integration, so that I can integrate data-packaged data with pipelines that use SPSS. "
370,"As a Developer, I want an EPrints integration, so that I can integrate data-packaged data with pipelines that use EPrints. "
371,"As a Developer, I want a Mongo integration, so that I can integrate data-packaged data with pipelines that use Mongo. "
372,"As a Developer, I want a DAT integration, so that I can integrate data-packaged data with pipelines that use DAT. "
373,"As a ResearcherGovernment Publisher, I want to add general reference data to my narrow dataset, so that my dataset is more useful. "
374,"As a ResearcherGovernment Publisher, I want to add general country names to my dataset that only contains country codes, so that my dataset is more readable. "
375,"As a ResearcherGovernment Publisher, I want to add reference data on inflation to my spending dataset, so that the spending lines in my dataset is more understandable. "
376,"As a ResearcherGovernment Publisher, I want to map lines in my dataset using geographic data in my dataset, so that my dataset is more engaging for non-technical users. "
377,"As a Researcher, I want to be able to reference a remote-controlled vocabulary for my dataset, so that I can be sure that column of my dataset are valid against a single shard list of terms. "
378,"As a developer, I want an DSpace integration, so that I can integrate data-packaged data with pipelines that use Dspace. "
379,"As a Developer, I want Feather integration, so that I can integrate data-packaged data with pipelines that use Feather. "
380,"As a Developer, I want HDF5 integration, so that I can integrate data-packaged data with pipelines that use HDF5."
381,"As a Researcher, working with data, I want an Microsoft Power BI integration, so that I can import datasets without downloading them locally. "
382,"As a ResearcherPublisher, I want an integration with Zenodo, so that when I store my dataset in GitHub, I donâ€™t have to retype descriptive information about my dataset. "
383,"As a Publisher, I would like an integration with Open Refine, so that I can output cleaned Data Packages. "
384,"As a ResearcherPublisher, I want to publish Data Packages to CKAN, so that my data is findable, and I can have a data API. "
385,"As a ResearcherDeveloper, would like the ability import/export from MS-SQL, so that I can use Data Packages in workflows that involve MS-SQL. "
386,"As a Researcher, working with data in NetCDF, I want NetCDF integration, so that I can store my data in plaintext while still retaining its metadata. "
387,"As a Researcher, I want an integration with https://data.mendeley.com/, so that I can validate my data upon ingest to the service."
388,"As a Publisher, I would like an integration with Excel, so that I can output cleaned Data Packages. "
389,"As a Publisher, I want to store my data quickly and easily online. "
390,"As a Repository Manager, I want a tool that makes it easy for researchers/ users to add basic metadata to their research data, so that it is more findable and therefore useful. "
391,"As a ResearcherPublisher, I want validate my data with a minimum of clicks, so that I can feel trust in the validity and usefulness of the data. "
392,"As a publisher, I want to be able to check that every time I update my data it is still good, so that I can catch errors early and store reliable data. "
393,"As a DeveloperWrangler, I want to use a command line tool that allows met to validate data, so that I can feel trust in the validity and usefulness of the data quickly and in the context of my command line workflow. "
394,"As a developer, I want an online service that is connected to my data repository that validates data on update, so that I can delegate data validation to a third party. "
395,"As a government Publisher, I want to make it easy to prove that our published data is valid, so that I can claim that we are living up to our transparency commitments. "
396,"As a Civic Tech Activist, I want to make it easy to assess the quality of data stored by the government, so that I can make sure that government is living up to its transparency commitments. "
397,"As a publisher, I want to embed an interactive preview of my data on my site, so that users can be encouraged that this is the correct data for them. "
398,"As a publisher, I want to embed a preview button on my site, so that users can preview the data and be encouraged that this is the correct data for them."
399,"As a Publisher, I want to know how many users have previewed a dataset, so that I know how interest in a dataset relates to its actual download numbers. "
400,"As a Developer, I want to customize an existing wizard for my specific type of data, so that I can give my users a great user experience."
401,"As a Publisher, I want to add useful metadata or add in new data columns to make the dataset more useful. "
402,"As a publisher, I want to package reproducible steps to get a certain data state, so my methodology is transparent and can be rerun by others. "
403,"As a DeveloperDataWrangler, I want to store my Data Package in GitHub and have it automatically stored into CKAN, so that I get a data API and my dataset is listed in a relevant catalog. "
404,"As a Researcher, I want a tool that can generate basic statistics about a dataset, so that I can get a quick preview of the data. "
405,"As a DeveloperPublisher, I want a tool to create an embeddable data summary via iframe, so that I can embed data summaries across sites. "
406,"As a Researcher, I want an app that generates an OpenRefine reconciliation API endpoint from a Tabular Data Package, so that I can use it to clean messy data. "
407,"As a Researcher, I want an app that create proxy Data Packages for well know and reliable data, sources, so that I can load high quality data using Data Package tooling. "
408,"As a RepositoryManagerResearcher, I want an app that acts as a match-making service for packaging data, so that owners are paired with data packagers. "
409,"As a developer, I would like to create a web socket protocol for Frictionless data tools, so that I can easily use data packages with additional data analysis tools. "
410,"As a Publisher, I would like a tool to check data availability persistence after publication. "
411,"As a ResearcherPublisher, I want to specify the funding that contributed to the creation of a given dataset, so that funding agencies can identify the funding, source for a given dataset. "
412,"As a ResearcherPublisher, I want to add a DOI to a dataset, so that I can cite it in papers stored  with the data. "
413,"As a Public User, I want to Search for Information, so that I can obtain publicly available information concerning properties, County services, processes and other general information."
414,"As a ProspectiveApplicant, I want to research requirements and to select a service, so that I can find the relevant service and/or application type to initiate via the online portal."
415,"As an Applicant, I want to Request PreApplication Assistance, so that I can receive a response to a request for a meeting or information that is a result of the preapplication assistance."
416,"As a Customer, I want to Create a Customer Portal User Account, so that I can log on to the Customer Portal and perform transactions that first require user authentication."
417,"As an Applicant, I want to Submit Application, so that I can provide my information, plans and/or documents to initiate a transaction with the County."
418,"As an Applicant, I want to Submit Supporting Documentation, so that I can satisfy documentation requirements for my application."
419,"As an Applicant, I want to Pay Fee, so that I can satisfy outstanding charge associated with the service requested or received from the County."
420,"As an Applicant, I want to Check the Status of a transaction, so that I can understand where the provisioning of my service is in the process, such as information related to service levels, fees, plan review, permit, or inspection results."
421,"As an Applicant, I want to Modify my Application, so that I can successfully change information on an application."
422,"As a Staff member, I want to Perform a Completeness Review, so that I can validate when an application is complete and eligible for further technical review."
423,"As a Staff member, I want to Record an Internal Note, so that I can share information with other Staff collaborating on the record."
424,"As a Staff member, I want to Assign an Application for Detailed Review, so that I can review the for compliance and subsequently approved or denied."
425,"As a Staff member, I want to Apply a Hold, so that I can prevent progression through the workflow or other actions in the system until the issue is resolved."
426,"As a Staff member, I want to Remove a Hold, so that I can allow progression through the workflow or other actions in the system now that the issue has been resolved."
427,"As a Staff member, I want to Send a Formal Response to Applicant, so that I can satisfy communication and records responsibilities."
428,"As a Staff member, I want to Track  the Draft Proffers, so that I can preserve the history of draft proffer statements submitted by the Applicant."
429,"As a Staff member, I want to Manage Approved Proffers, so that I can ensure compliance with and satisfaction of the proffer in the future."
430,"As a Staff member, I want to Manage Ordinances, so that I can maintain accurate ordinance information in the System."
431,"As a Staff member, I want to Schedule a Meeting, so that I can bring the required parties together at a specific date/time to address an issue."
432,"As a staff member, I want to denote an application with a Final Action status. So that I can finish it."
433,"As a Planning Staff member, I want to Conduct and Track Plan Amendments and Planning Studies, so that I can record work in process, outcome, and location-based information related to the Plan(s)."
434,"As a Planning Staff member, I want to Generate Planning-related Reports, so that I can access, analyze and/or export the needed information in the format I requested."
435,"As a Planning Staff member, I want to Evaluate Consistency with the Comprehensive Plan, so that I can complete my required review of a plan set and/or application."
436,"As a Staff member, I want to Perform a Staff Review, so that I can validate compliance of an application with the Zoning Ordinance and impact approval/denial of the application accordingly."
437,"As a Zoning Staff member, I want to Process the Requests for Zoning Information, so that I can capture my response to the request in the system and also send a communication from the system to the Applicant."
438,"As a Zoning Staff member, I want to Issue the Zoning-Related Permits, so that I can satisfy an Applicant's request for service that has proven to be eligible and in compliance with the Zoning Ordinance."
439,"As a Staff member, I want to Develop a Staff Report, so that I can publish and distribute the report according to business rules."
440,"As a Staff member, I want to Manage Hearing Calendars, so that I can track hearing-related activities and due dates."
441,"As a Staff member, I want to Assign a Hearing Date, so that I can present the application to the appropriate governing body within the timelines dictated by the relevant County rules and procedures."
442,"As a Staff member, I want to Manage Affidavits, so that I can ensure compliance with the requirements prior to the hearing."
443,"As an Applicant, I want to Satisfy Hearing Requirements, so that I can ensure all pre-hearing requirements are satisfied in time for the hearing."
444,"As a Staff member, I want to Prepare for and Support Hearing Execution, so that I can ensure all pre-hearing requirements are satisfied and staff and Applicant are ready for the hearing."
445,"As a Staff member, I want to Capture a Hearing Decision, so that I can enforce the system."
446,"As a Staff member, I want to Process the Appeals, so that I can track the outcome and record the impact on the relevant records."
447,"As a Plan Review Staff member, I want to Assign Plans for Review, so that I can ensure plans have been assigned to the appropriate Plan Reviewer."
448,"As a Plan Review Staff Supervisor, I want to Manage Plan Reviewer Workload, so that I can monitor and effectively adjust workload as necessary and ensure service levels are met"
449,"As an Applicant, I want to Request a Plan Review Meeting, so that I can meet with the Plan Review Staff regarding the plan review."
450,"As a Plan Review Staff member, I want to successfully Conduct a Plan Review Meeting with the Applicant and record the outcome, so that I can listen to it again."
451,"As a Plan Review Staff member, I want to Review Plans, so that I can review them for compliance and either approve, or fail or deny the plans and record any conditions, clearances, or corrections needed from the Applicant."
452,"As an Applicant, I want to Resubmit Plans, so that I can review revised plans. "
453,"As a Plan Review Staff Member, I want to Review the Code Modifications submitted by the Applicant, so that I can review the request and if approved, associate it with the appropriate project."
454,"As a Plan Review Staff member, I want to Track the Completion of Required Plan Reviews, so that I can ensure all plan review tasks are completed, results have been sent to the Applicant and any downstream steps are initiated such has a final review or payment for permit issuance."
455,"As a Development Staff member, I want to Issue a Development-related Permit, so that I can grant the request to the Applicant to begin work"
456,"As a Staff member, I want to Manage Bonds, so that I can track and manage bonds throughout the lifecycle of the project until release."
457,"As an Applicant, I want to Complete Building Development Project, so that I can receive any posted bond and/or obtain occupancy."
458,"As an Applicant, I want to Complete Building Development Project, so that I can receive any posted bond and/or obtain occupancy."
459,"As a Customer, I want to Request Inspection, so that a County inspector is assigned to perform an inspection of my project."
460,"As an Inspection Staff member, I want to Create an Inspection, so that I can schedule and assign the inspection."
461,"As an Inspection Staff Supervisor, I want to Assign Inspections, so that I can make sure the appropriate Inspector receives the work."
462,"As an Inspection Supervisor, I want to Manage Inspector Workload, so that I can meet service level and quality requirements."
463,"As an Inspector, I want to Conduct Inspections, so that I can validate Customer compliance with code and regulations and provide results of the inspection to the Customer."
464,"As an Enforcement Staff member, I want to Issue a Notice of Violation, so that I can provide formal communication to the responsible party."
465,"As a l Staff member, I want to search for Property information, so that I can obtain all associated current and historic owners, permits, and applications."
466,"As a Staff member, I need to be notified when Geospatial attributes change, so that I can ensure that I am reviewing the permit/application to the most current data and appropriate standards."
467,"As a County Staff Member, I want to create a custom query/report outside of the common querying/reporting functionality, so that I can fulfill a request."
468,"As a Staff member, I want to create each condo unit, so that I can associate it to the child parcel and address after the condominiums are recorded in the system."
469,"As a Technical Staff member, I want to update the GIS Property Management, so that I can successfully update the transactional Parcel Pin to reference the GIS layer where the Split or Merged Parcel Pin exists."
470,"As a Staff member, I want to Send or Post Citations and Fines, so that I can successfully send the Notice Of Violation document to the property owner and log information about the action."
471,"As a system administrator, I want to run a script that installs the Neurohub node onto a virgin Ubuntu operating system."
472,"As a system administrator, I want to run a script that tests to see if a Neurohub installation is functioning correctly."
473,"As a release engineer, I want to call a script to execute acceptance tests against a Neurohub installation and report back the results."
474,"As an investigator, I want to view the acceptance test results, so that I can understand how feature-complete the Neurohub node currently is."
475,"As an MRI operator, I want to digitally record the responses that subjects make when completing paper-based forms."
476,"As a user, I want to navigate forwards and backwards between log books and log book pages without having to use my browser's back button."
477,"As a lab administrator, I want to theme the Web interface graphics/colours."
478,"As a systems administrator, I want  to install Neurohub dependencies into an Ubuntu 10.04 LTS machine using the normal Ubuntu package management tools."
479,"As a researcher, I want to create a log book page for an experiment and attach a file to this page."
480,"As a researcher, I want to create a log book page for an experiment and attach a directory that contains multiple files."
481,"As a researcher, I want to upload files prior to having them attached to a log book page."
482,"As a researcher, I want to upload files prior to having them attached to a log book page using the web interface."
483,"As a researcher, I want to upload files prior to having them attached to a log book page using a mapped network drive."
484,"As a researcher, I want to attach currently non-attached files to a log book page."
485,"As a researcher, I want to receive an alert of any unattached files that are in my workspace."
486,"As a researcher, I want to download files attached to an experiment using my Web browser."
487,"As a researcher, I want to access files stored in my Neurohub workspace, using a network drive attached to my workstation."
488,"As a researcher, I want to create a log book page."
489,"As a release engineer, I want to configure nightly builds that automatically perform a Neurohub installation on a virgin operating system, execute tests and report back results, without requiring any manual input/interaction."
490,"As a supervisor, I want to view what my researchers were doing on a given date or period of time."
491,"As a user, I want to upload large files of over 1GB in size."
492,"As a user, I want to assign tags to files that I have uploaded."
493,"As a user, I want to assign bespoke information to a file dependent on its type."
494,"As a user, I want to filter the files I get from search results based on their  type."
495,"As a user, I want to use the tags that I use are part of a controlled vocabulary."
496,"As a user, I want to make uploaded data files to be non-modifiable."
497,"As a user, I want to make predicated links between files."
498,"As a user, I want to restrict what can be entered to a metadata field."
499,"As a user, I want to have files I might accidentally delete to be restorable."
500,"As a user, I want to revert to an older version of an uploaded file."
501,"As a user, I want to have a visual way of viewing particular files uploaded over a time period."
502,"As a user, I want to associate together files involved in a experiment."
503,"As a system administrator, I want to have a managed backup protocol for the system."
504,"As a user, I want to enter metadata / describe an experiment protocol before a file is even created."
505,"As lab administrator, I want to have increased access to the system to support regular users. "
506,"As a user, I want to link together experimental runs to build an experiment."
507,"As a lab administrator, I want to create page templates with bespoke metadata fields."
508,"As a user, I want to capture the same metadata for each file created in an experimental run."
509,"As a lab administrator, I want a way of managing worm strain stocks that is integrated with Wormbase."
510,"As a user, I want to search for and download human-readable experimental protocols."
511,"As a user, I want to modify or branch an experimental protocol, whilst retaining the original."
512,"As a user, I want to view how an experimental protocol has evolved over time."
513,"As a user, I want to create a protocol and assign metadata to any stag."
514,"As a user, I want to prove definitively that I created a page on a certain date."
515,"As a user, I want to manage the references / papers I have investigated."
516,"As a user, I want to search specifically for files rather than log book pages."
517,"As a user, I want to limit my search to a particular set of log books."
518,"As a user, I want to limit my search results to one or more log book sections from one or more log books."
519,"As a user, I want to download files directly from the search results page."
520,"As a user, I want to see the provenance of the page as part of the search results."
521,"As a user, I want to attach multiple files at once to a log book page."
522,"As a user, I want to download multiple files from the search results in one go."
523,"As a user, I want to draw tables using HTML tags as part of the content of a log book page."
524,"As a lab member, I want to view events and equipment bookings within the group."
525,"As a user, I want to store worm behaviour videos with an encoding that can be analysed by the worm analysis software written by Christopher James."
526,"As a system administrator, I want to migrate data from an older version of NeuroHub to the current version."
527,"As a user, I want to have the system to also forward important news items to an external mailing list."
528,"As a user, I want to view and update an inventory of of the equipment and consumables that are present in the centre."
529,"As a user, I want to have a spreadsheet hosted within the Neurohub Web page, so that I can edit and calculate costs collaboratively with others while working on the proposal."
530,"As a supervisor, I want to create feedback forms within Neurohub, that my students can fill in and submit, in order to provide me with feedback about the course that they attended."
531,"As a user, I want to have the option to tell Neurohub to push posted content to my Twitter feed at the same time."
532,"As a user, I want to either keep a logbook entry private or share it with individuals rather than groups."
533,"As a user, I want to have the details of the workflow execution to be recorded in a neurohub log book while executing a workflow."
534,"As a user, I want to have that my Twitter Tweets to appear in Neurohub, so that other researchers in the centre can see what I am up to."
535,"As a user, I want to view the group's shared calendars via the Neurohub Nodes' Web page as well as on my mobile device."
536,"As a user, I want to sync events created in NeuroHub with a web-based Calendar such as Google Calendar."
537,"As a researcher, I want to have the ability to insert Greek symbols into my logbook entries."
538,"As a user, I want to have the ability to move multiple files around and rearrange them using the Neurohub file browser while processing data."
539,"As a researcher, I want to point my Mendeley client at a group-wide shared repository of research papers and get notifications via Mendeley when new content is added."
540,"As a researcher, I want to have electronic support for keeping track of which data sets were used/output/modified as part of a particular experiment."
541,"As a user, I want a mechanism for electronically sharing papers and notes with other researchers, so that we can collaborate effectively."
542,"As a researcher, I want to have services to support the long term curation of data, so that I can be sure that data will not get 'lost' with the passage of time."
543,"As a researcher, I want to have a timeline display of multiple data files and their associated images, so that I can compare the data taken from experiments on particular dates."
544,"As a researcher, I want to have remote access to my data for off-site working , so that I can still work effectively while away from the lab."
545,"As a researcher, I want to share post-experiment write-ups with other researchers, so that others can more easily replicate my work."
546,"As a researcher, I want to collect data as a library of data, which can then be used by one or multiple experiments that are defined at a later stage."
547,"As a researcher, I want to indicate within my electronic log book which experimental data is good/bad, hide the bad data, but still keep it in the system just in case it is useful in the future."
548,"As a researcher, I want to have the system to provide standard metadata, that all researchers in the centre (and beyond) can use, so that we can better understand each others' data."
549,"As a researcher, I want to have physiology images to be annotated with standard meta data, so that my data can later be searched for and understood."
550,"As a researcher, I want to have the ability to attach standard meta data for behavioural observations (and video), so that my data can later be searched for and understood."
551,"As a researcher,  I want to have the ability to attach standard meta data for drug responses, so that my data can later be searched for and understood."
552,"As a researcher, I want to have the ability to search for images of cells using standard meta data."
553,"As a researcher, I want to have at least some meta data to be automatically inserted when new data is added to the system."
554,"As a researcher,  I want to have the ability to attach detailed meta data to the data and entries that I create."
555,"As a researcher, I want to have the ability to select a partially pre-populated template that already contains commonly entered meta data while adding new data to the system, so that I do not waste time repeatedly inserting the same meta data over and over again for each individual file or log book entry."
556,"As a user, I want to be sure that existing metadata corresponding to the file is not lost when moving a file to a new location."
557,"As a researcher, I want to have the ability to form links between objects, for example File A is an analysis of File B, so that data can be searched by type and by association."
558,"As a researcher, I want to have the ability to locate experiment files using meta data, regardless of where those files are located."
559,"As a researcher, I want to have any data that I have written to the VRE to be protected from modification or deletion, so that original data can always be traced back to an experiment and a point in time."
560,"As a user,  I want to have the ability to keep my data private on the system, and only share data that I deem should be shared."
561,"As a researcher,  I want to have the ability to store all the inputs for an experiment so that the provenance of the results can be verified."
562,"As a researcher, I want to have the ability to search for files by file type and format."
563,"As a researcher,  I want to have the ability to bulk upload directories and files with minimal effort."
564,"As a researcher, I want to associate meta data to the group as a whole at some point in time after the bulk upload has completed, so that I have a period of time to reflect on suitable values for the meta data."
565,"As a user,  I want to have the ability to change the sharing and ownership of multiple files."
566,"As a researcher,  I want to have the ability to restrict the data I share to certain researchers or groups of researchers."
567,"As a researcher,  I want to have the ability to locate and access data that colleagues want to share."
568,"As a researcher,  I want to have the ability to interact with a revision control system so that I can keep track of changes to files over time."
569,"As a JuniorResearcher,  I want to have the ability to harvest knowledge from within the group, so that I can learn from more experienced researchers."
570,"As a researcher, I want to secure remote access to the Neurohub node when working away from the laboratory"
571,"As a researcher, I want to have a group-level repository for sharing papers/reviews/comments with other researchers."
572,"As a researcher, I want to have the details of the workflow plan as well as the execution history and results recorded in Neurohub while executing a workflow"
573,"As a user, I want to click on the address, so that it takes me to a new tab with Google Maps."
574,"As a user, I want to be able to anonymously view public information, so that I know about recycling centers near me before creating an account."
575,"As a user, I want to be able to enter my zip code and get a list of nearby recycling facilities, so that I can determine which ones I should consider."
576,"As a user, I want to be able to get the hours of each recycling facility, so that I can arrange drop-offs on my off days or during after-work hours."
577,"As a user, I want to have a flexible pick up time, so that I can more conveniently use the website."
578,"As a user, I want to be able to select different types of recyclable waste, so I have and get a list of facilities that accept each type and their opening hours, so that I can find an optimal route and schedule."
579,"As a user, I want to add donation centers as favorites on my profile, so that I can view them later."
580,"As a user, I want to be able to give my email ID, so that I can receive notifications for new events as they are posted."
581,"As a user, I want to be able to view a map display of the public recycling bins around my area."
582,"As a user, I want to be able to view a map display of the special waste drop off sites around my area."
583,"As a user, I want to be able to view the safe disposal events currently being organised around my area."
584,"As a user, I want to choose a flexible pick up time, so that I can more conveniently use the website."
585,"As a user, I want to view user documentation for the website, so that I know how to use the web app."
586,"As a user, I want to get feedback when I enter an invalid zip code."
587,"As a user, I want to be able to create an acocunt, so that I can create my own profile."
588,"As an admin, I want to be able to add or remove recycling facilities' information, so that users get the most recent information."
589,"As an admin, I want to be able to read users' feedback and complaints, so that we can add more features and keep improving the service we provide to them."
590,"As a user, I want to be able to check transaction history and keep a record of it, so that I can go back when needed."
591,"As a user, I want to have a great UI and UX from the sites, so that I have a pleasant experience when navigating through them."
592,"As a user, I want to be able to access the site and do all the other stuffs on all of my electronic devices."
593,"As an admin, I want to be able to block specific users based on IP address, so that I can prevent spamming on the websites."
594,"As an admin, I want to view a dashboard that monitors all the sites' statuses, so that I can have a sense of what people are doing on our sites and know the service status."
595,"As an admin, I want to have all data encrypted, so that important information will not be stolen during a server breach or an attack."
596,"As an executive, I want to have full access to data related to my company, so that I can have a sense of my company's performance."
597,"As an employee, I want to access the route planning system during work, so that I can be guided through the neighbourhood."
598,"As an employee from the HR department, I want to have access to the full information of all employees working for this business."
599,"As a developer, I want to access an API from the website, so that I can integrate it and implement certain features in my own iOS application."
600,"As a user, I want to be able to receive tempting rewards, so that I have a reason to use the website."
601,"As a user, I want to have my personal information kept securely in the database of the website, so that I will not suffer from identity theft or telephone harassment."
602,"As an admin, I want to handle all users' activities, so that I can manage more efficiently."
603,"As a company, I want to have a website that is easy to use, so that I can upload or delete stuff step by step."
604,"As an employee, I want to get quick notifications, so that I can process cases the first time."
605,"As a company accountant, I want to view all available activity fees online, so that I can easily create a bill statement."
606,"As a developer, I want to use bootstrap in the process of developing, so that I can easily design my website."
607,"As a developer, I want to attend some UI/UX lessons, so that I can develop an awesome and beautiful features website."
608,"As a user, I want to view all locations of recycling centers on a map, so that I can check which routes to take to drop off waste."
609,"As a user, I want to upload my week's schedule, so that I can get recommendations for recycling centers that best fit my availability."
610,"As a user, I want to link my email account to my profile, so that I can get a temporary password in case I forget my own one."
611,"As a user, I want to contact the administrators, so that I can give feedback or ask for help."
612,"As an admin, I want to add recycling center information, so that I can keep the database up-to-date over time."
613,"As an admin, I want to view user error logs, so that I can fix or review any issues that are being faced by users of the system."
614,"As an admin, I want to onboard recycling centers on the platform, so that I can increase information accuracy."
615,"As a superuser, I want to update the recycling center information, so that I can provide the latest information about the recycling center."
616,"As a superuser, I want to view users' stats, so that I can view in real-time how many users have visited my recycling center information and their recyclable waste."
617,"As a superuser, I want to reply to user questions, so that I can answer any questions about my recycling center."
618,"As an admin, I want to be able to have a dashboard that shows usage stats and locations, so that I can identify the neighbourhoods with the largest number of drop-offs and to try getting more facilities involved."
619,"As an admin, I want to be able to communicate directly with facilities, so that I can keep them updated about features we have on our website."
620,"As a user, I want to be able to browse through the list of facolities and see which ones are environment-friendly, so that I can know for sure my waste is not going to leave a negative ecological footprint."
621,"As a recyclingfacility representative, I want to be able to update my information and the type of material I accept, so that I can avoid any miscommunication with users."
622,"As a recyclingfacility representative, I want to have access to user stats and schedules, so that I can adjust my hours and/or upgrade equipment and capacity in order to be able to accomodate larger amounts of recyclable materials."
623,"As a recyclingfacility, I want to be able to communicate directly with the site admin and convey any issues or concerns I have, so that they fix them."
624,"As an OlderPerson, I want to know exactly what ALFRED does with my personal data, and share it only on my specific permission. "
625,"As an OlderPerson, I want to receive information from ALFRED by speech technology. "
626,"As an OlderPerson, I want to use only well-visible buttons."
627,"As an OlderPerson, I want to use ALFRED as much as possible with speech interaction."
628,"As an OlderPerson, I want to always keep control on the activities of ALFRED. "
629,"As an OlderPerson, I want to be able to manage my privacy and data settings. "
630,"As an OlderPerson, I want to have everything preinstalled, so that I do not have to set up ALFRED by myself."
631,"As an OlderPerson, I want to have a small ALFRED device that is wearable and easy to carry with me."
632,"As an OlderPerson, I want to have ALFRED on all my computers, tablets and phone."
633,"As an OlderPerson, I want to have ALFRED on a bracelet or a necklace, so that I can always wear him with me. "
634,"As an OlderPerson, I want to have clear instructions and service after sales that guide me if I have trouble in using ALFRED."
635,"As an OlderPerson, I want to have an ALFRED device that speaks very slowly and clearly."
636,"As an OlderPerson, I want to have an ALFRED device that only reacts to me."
637,"As an OlderPerson, I want to have an ALFRED device that only listens to me when I ask it to. "
638,"As an OlderPerson, I want to have an introduction conversation with ALFRED, so that I can learn everything about him and he about me. "
639,"As an OlderPerson, I want to buy ALFRED in a senior shop with special client support. "
640,"As an OlderPerson, I want to buy ALFRED for a low price. "
641,"As an OlderPerson, I want to receive visual support, especially when looking at a list, map or agenda."
642,"As an OlderPerson, I want to use ALFRED to pay for small amounts."
643,"As an OlderPerson, I want to have a very good battery for ALFRED so I can keep him on the whole day."
644,"As an OlderPerson, I want to have an ALFRED device that informs me about a low battery when leaving the house. "
645,"As an OlderPerson, I want to have an ALFRED device that can be easily adapted for user that have visual or hearing troubles."
646,"As an OlderPerson, I want to have an ALFRED device that can be easily adapted for user that have visual troubles. "
647,"As an OlderPerson, I want to have an ALFRED device that can be easily adapted for user that have hearing trouble. "
648,"As an OlderPerson, I want to have an ALFRED device that repeats the last phrase. "
649,"As an OlderPerson, I want to be able to zoom into visual content. "
650,"As an OlderPerson, I want to have an ALFRED device that responds to the changing demand of the users by offering new Apps in the ALFREDO platform."
651,"As an OlderPerson, I want to have an ALFRED device that helps me to communicate with my friends and family. "
652,"As an OlderPerson, I want to have video conversation with others. "
